Clave entidad,"Entidad
federativa",Clave municipio,Municipio,Población total,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Índice de rezago social,Grado de rezago social,Lugar que ocupa en el contexto nacional
01,Aguascalientes,01001,Aguascalientes,"948,990",1.6,4.6,20.3,18.3,0.6,0.3,0.4,0.3,0.2,12.1,4.3,-1.315320,Muy bajo,"2,435"
01,Aguascalientes,01002,Asientos,"51,536",3.5,6.3,33.9,14.7,1.5,3.8,1.0,3.6,0.8,17.7,11.6,-0.857301,Muy bajo,"1,986"
01,Aguascalientes,01003,Calvillo,"58,250",4.5,6.9,42.4,20.3,1.1,0.7,0.9,0.7,0.7,12.6,5.5,-0.918554,Muy bajo,"2,076"
01,Aguascalientes,01004,Cosío,"17,000",3.1,5.7,27.6,13.8,1.0,2.0,0.8,1.2,0.6,18.5,10.5,-1.004023,Muy bajo,"2,178"
01,Aguascalientes,01005,Jesús María,"129,929",2.4,5.9,26.6,21.0,1.2,0.6,0.9,0.8,0.5,12.0,5.3,-1.173361,Muy bajo,"2,347"
01,Aguascalientes,01006,Pabellón de Arteaga,"47,646",2.7,4.4,25.6,18.6,0.7,1.0,1.1,0.9,0.6,13.0,6.7,-1.168755,Muy bajo,"2,343"
01,Aguascalientes,01007,Rincón de Romos,"57,369",3.4,4.4,27.0,19.9,1.3,1.8,1.1,1.5,0.7,17.2,8.6,-1.065487,Muy bajo,"2,256"
01,Aguascalientes,01008,San José de Gracia,"9,552",2.4,5.7,28.4,13.1,1.0,2.7,1.9,2.6,1.4,16.9,9.9,-0.956906,Muy bajo,"2,121"
01,Aguascalientes,01009,Tepezalá,"22,485",4.2,5.4,35.0,14.9,1.6,2.7,1.2,1.9,0.8,16.0,9.2,-0.900102,Muy bajo,"2,041"
01,Aguascalientes,01010,El Llano,"20,853",3.9,4.4,34.9,21.0,1.5,3.3,1.8,3.8,1.5,20.1,13.0,-0.829259,Muy bajo,"1,955"
01,Aguascalientes,01011,San Francisco de los Romo,"61,997",2.4,6.4,28.4,17.1,0.7,0.5,0.5,0.3,0.5,18.1,8.9,-1.075474,Muy bajo,"2,261"
02,Baja California,02001,Ensenada,"443,807",2.3,5.5,25.2,17.5,1.8,0.8,4.4,5.3,1.7,19.6,7.2,-0.970463,Muy bajo,"2,142"
02,Baja California,02002,Mexicali,"1,049,792",1.6,4.9,21.4,18.2,1.4,0.4,0.8,3.4,0.7,12.0,3.1,-1.240347,Muy bajo,"2,397"
02,Baja California,02003,Tecate,"108,440",1.9,6.0,28.4,18.2,1.8,1.1,3.7,2.4,1.6,14.2,4.9,-1.024642,Muy bajo,"2,208"
02,Baja California,02004,Tijuana,"1,922,523",1.5,7.6,24.5,25.0,2.2,0.7,1.2,0.9,0.3,18.1,4.4,-1.149643,Muy bajo,"2,320"
02,Baja California,02005,Playas de Rosarito,"126,890",2.0,7.7,29.5,28.1,2.7,1.4,5.0,2.3,0.8,22.5,5.6,-0.956101,Muy bajo,"2,119"
02,Baja California,02006,San Quintín,"117,568",8.1,5.7,47.1,26.5,4.3,0.9,16.0,43.7,5.7,42.0,27.7,0.349481,Medio,700
03,Baja California Sur,03001,Comondú,"73,021",4.1,3.6,32.2,11.7,3.1,1.0,1.9,4.2,1.6,27.9,7.9,-0.811338,Muy bajo,"1,938"
03,Baja California Sur,03002,Mulegé,"64,022",4.1,5.6,33.5,15.0,3.0,1.9,2.9,11.5,2.3,33.0,15.0,-0.568869,Bajo,"1,630"
03,Baja California Sur,03003,La Paz,"292,241",1.8,3.3,19.8,14.1,2.0,1.1,2.4,1.3,1.3,25.0,5.6,-1.101218,Muy bajo,"2,285"
03,Baja California Sur,03008,Los Cabos,"351,111",2.1,4.8,23.8,19.2,7.8,1.3,8.5,1.6,0.8,38.1,9.1,-0.758723,Muy bajo,"1,858"
03,Baja California Sur,03009,Loreto,"18,052",2.2,4.4,25.9,13.2,4.1,1.8,3.2,3.0,1.3,26.2,9.0,-0.890728,Muy bajo,"2,031"
04,Campeche,04001,Calkiní,"59,232",9.2,2.8,31.8,17.9,2.4,9.5,2.0,12.0,0.9,28.7,27.7,-0.427612,Bajo,"1,453"
04,Campeche,04002,Campeche,"294,077",3.3,3.2,22.9,19.4,1.1,1.3,0.7,1.6,0.5,18.4,8.4,-1.144640,Muy bajo,"2,314"
04,Campeche,04003,Carmen,"248,845",3.9,6.7,26.4,23.1,2.5,2.3,5.6,1.4,0.9,17.9,10.9,-0.922415,Muy bajo,"2,080"
04,Campeche,04004,Champotón,"78,170",8.8,5.9,38.9,24.1,3.5,3.8,3.3,8.1,1.9,25.7,20.5,-0.446059,Bajo,"1,472"
04,Campeche,04005,Hecelchakán,"31,917",8.4,10.7,30.9,22.2,1.6,6.9,2.4,10.6,0.9,25.6,23.9,-0.453318,Bajo,"1,481"
04,Campeche,04006,Hopelchén,"42,140",8.3,19.8,42.9,22.6,2.8,10.5,1.5,13.5,1.7,27.7,32.6,0.036244,Bajo,986
04,Campeche,04007,Palizada,"8,683",7.8,5.1,34.2,14.2,4.1,2.7,17.7,4.9,2.6,27.0,21.5,-0.312180,Bajo,"1,327"
04,Campeche,04008,Tenabo,"11,452",8.8,9.2,32.9,18.6,1.2,10.8,1.2,15.1,1.5,24.8,23.8,-0.344090,Bajo,"1,369"
