"","DESC_UNIDAD_RESPONSABLE","sex","niv_sueldo","n()"
"1","Agencia de Atención Animal De La Ciudad De México","H",1,2
"2","Agencia de Atención Animal De La Ciudad De México","H",2,23
"3","Agencia de Atención Animal De La Ciudad De México","H",3,2
"4","Agencia de Atención Animal De La Ciudad De México","H",4,1
"5","Agencia de Atención Animal De La Ciudad De México","H",10,1
"6","Agencia de Atención Animal De La Ciudad De México","M",1,6
"7","Agencia de Atención Animal De La Ciudad De México","M",2,38
"8","Agencia de Atención Animal De La Ciudad De México","M",3,2
"9","Agencia de Atención Animal De La Ciudad De México",NA,2,3
"10","Agencia de Atención Animal De La Ciudad De México",NA,3,1
"11","Agencia de Protección Sanitaria","H",1,10
"12","Agencia de Protección Sanitaria","H",2,16
"13","Agencia de Protección Sanitaria","H",4,18
"14","Agencia de Protección Sanitaria","H",5,4
"15","Agencia de Protección Sanitaria","H",9,1
"16","Agencia de Protección Sanitaria","M",1,2
"17","Agencia de Protección Sanitaria","M",2,20
"18","Agencia de Protección Sanitaria","M",4,20
"19","Agencia de Protección Sanitaria","M",5,1
"20","Agencia de Protección Sanitaria",NA,2,2
"21","Agencia de Protección Sanitaria",NA,4,1
"22","Agencia Digital de Innovación Pública (ADIP)","H",1,19
"23","Agencia Digital de Innovación Pública (ADIP)","H",2,223
"24","Agencia Digital de Innovación Pública (ADIP)","H",3,44
"25","Agencia Digital de Innovación Pública (ADIP)","H",4,35
"26","Agencia Digital de Innovación Pública (ADIP)","H",5,6
"27","Agencia Digital de Innovación Pública (ADIP)","H",6,15
"28","Agencia Digital de Innovación Pública (ADIP)","H",7,2
"29","Agencia Digital de Innovación Pública (ADIP)","H",10,4
"30","Agencia Digital de Innovación Pública (ADIP)","H",11,1
"31","Agencia Digital de Innovación Pública (ADIP)","M",1,43
"32","Agencia Digital de Innovación Pública (ADIP)","M",2,271
"33","Agencia Digital de Innovación Pública (ADIP)","M",3,38
"34","Agencia Digital de Innovación Pública (ADIP)","M",4,26
"35","Agencia Digital de Innovación Pública (ADIP)","M",5,4
"36","Agencia Digital de Innovación Pública (ADIP)","M",6,3
"37","Agencia Digital de Innovación Pública (ADIP)","M",7,6
"38","Agencia Digital de Innovación Pública (ADIP)","M",10,1
