"","DESC_UNIDAD_RESPONSABLE","sex","niv_sueldo","n()"
"1","Agencia de Atención Animal De La Ciudad De México","H",1,25
"2","Agencia de Atención Animal De La Ciudad De México","H",2,3
"3","Agencia de Atención Animal De La Ciudad De México","H",5,1
"4","Agencia de Atención Animal De La Ciudad De México","M",1,44
"5","Agencia de Atención Animal De La Ciudad De México","M",2,2
"6","Agencia de Atención Animal De La Ciudad De México",NA,1,3
"7","Agencia de Atención Animal De La Ciudad De México",NA,2,1
"8","Agencia de Protección Sanitaria","H",1,26
"9","Agencia de Protección Sanitaria","H",2,18
"10","Agencia de Protección Sanitaria","H",3,4
"11","Agencia de Protección Sanitaria","H",5,1
"12","Agencia de Protección Sanitaria","M",1,22
"13","Agencia de Protección Sanitaria","M",2,20
"14","Agencia de Protección Sanitaria","M",3,1
"15","Agencia de Protección Sanitaria",NA,1,2
"16","Agencia de Protección Sanitaria",NA,2,1
"17","Agencia Digital de Innovación Pública (ADIP)","H",1,242
"18","Agencia Digital de Innovación Pública (ADIP)","H",2,79
"19","Agencia Digital de Innovación Pública (ADIP)","H",3,21
"20","Agencia Digital de Innovación Pública (ADIP)","H",4,2
"21","Agencia Digital de Innovación Pública (ADIP)","H",5,4
"22","Agencia Digital de Innovación Pública (ADIP)","H",6,1
"23","Agencia Digital de Innovación Pública (ADIP)","M",1,314
"24","Agencia Digital de Innovación Pública (ADIP)","M",2,64
"25","Agencia Digital de Innovación Pública (ADIP)","M",3,7
"26","Agencia Digital de Innovación Pública (ADIP)","M",4,6
"27","Agencia Digital de Innovación Pública (ADIP)","M",5,1
"28","Agencia Digital de Innovación Pública (ADIP)",NA,1,15
"29","Agencia Digital de Innovación Pública (ADIP)",NA,2,2
"30","Agencia Digital de Innovación Pública (ADIP)",NA,3,3
"31","Agencia Digital de Innovación Pública (ADIP)",NA,4,1
"32","Alcaldía Álvaro Obregón","H",1,3522
"33","Alcaldía Álvaro Obregón","H",2,78
"34","Alcaldía Álvaro Obregón","H",3,48
"35","Alcaldía Álvaro Obregón","H",5,8
"36","Alcaldía Álvaro Obregón","H",6,1
"37","Alcaldía Álvaro Obregón","M",1,2212
"38","Alcaldía Álvaro Obregón","M",2,72
"39","Alcaldía Álvaro Obregón","M",3,29
"40","Alcaldía Álvaro Obregón","M",5,5
