"","Clave.entidad","Entidad.federativa","Clave.municipio","Municipio","Población.total","Población.de.15.años.o.más.analfabeta","Población.de.6.a.14.años.que.no.asiste.a.la.escuela","Población.de.15.años.y.más.con.educación.básica.incompleta","Población.sin.derechohabiencia.a.servicios.de.salud","Viviendas.con.piso.de.tierra","Viviendas.que.no.disponen.de.excusado.o.sanitario","Viviendas.que.no.disponen.de.agua.entubada.de.la.red.pública","Viviendas.que.no.disponen.de.drenaje","Viviendas.que.no.disponen.de.energía.eléctrica","Viviendas.que.no.disponen.de.lavadora","Viviendas.que.no.disponen.de.refrigerador","Índice.de.rezago.social","Grado.de.rezago.social","Lugar.que.ocupa.en.el.contexto.nacional","estrato"
"1",9,"Ciudad de México",9014,"Benito Juárez","434,153",0.4,5.9,5.4,20.1,0.1,0.1,0,0,0,10.4,1.3,1.550066,"Muy bajo","2,469","2"
"2",9,"Ciudad de México",9003,"Coyoacán","614,447",1.1,5,12.9,26.2,0.2,0.2,0.1,0.1,0,12.6,3.7,1.451144,"Muy bajo","2,465","2"
"3",9,"Ciudad de México",9016,"Miguel Hidalgo","414,470",0.8,5.5,10.9,19.2,0.2,1.6,0.1,0.1,0,12.4,3.9,1.424851,"Muy bajo","2,464","2"
"4",9,"Ciudad de México",9015,"Cuauhtémoc","545,884",0.9,6.2,13.4,28.2,0.1,0.2,0.1,0.1,0,16.3,4.1,1.407415,"Muy bajo","2,461","2"
"5",9,"Ciudad de México",9002,"Azcapotzalco","432,205",1,5.5,15,20.9,0.2,0.3,0.2,0.1,0,13.6,3.8,1.391197,"Muy bajo","2,460","2"
"6",9,"Ciudad de México",9006,"Iztacalco","404,695",1.2,4.3,16.4,27.2,0.2,0.2,0.1,0,0,16.6,5,1.386912,"Muy bajo","2,459","2"
"7",9,"Ciudad de México",9017,"Venustiano Carranza","443,704",1.1,5.8,16.7,28.2,0.3,0.3,0.1,0,0,16.7,5.3,1.361456,"Muy bajo","2,450","2"
"8",9,"Ciudad de México",9010,"Álvaro Obregón","759,137",1.6,5.8,18.8,24.7,0.5,0.3,0.2,0.1,0,14.3,5.6,1.321042,"Muy bajo","2,438","1"
"9",9,"Ciudad de México",9005,"Gustavo A. Madero","1,173,351",1.5,4.9,18.9,25.6,0.4,0.2,0.2,0.1,0,18.5,6.4,1.30486,"Muy bajo","2,432","1"
"10",9,"Ciudad de México",9004,"Cuajimalpa de Morelos","217,686",1.5,6.2,18.5,24.3,1,0.3,0.5,0.2,0.1,15.4,7.9,1.278397,"Muy bajo","2,422","1"
"11",9,"Ciudad de México",9012,"Tlalpan","699,928",1.6,4.5,18.1,28.7,0.9,0.4,4.1,0.3,0.1,17,8.1,1.266801,"Muy bajo","2,413","1"
"12",9,"Ciudad de México",9008,"La Magdalena Contreras","247,622",1.9,4.7,21.3,27.5,0.9,0.3,1.2,0.3,0.1,16.3,7.5,1.26263,"Muy bajo","2,410","1"
"13",9,"Ciudad de México",9007,"Iztapalapa","1,835,486",1.8,5.4,22.3,32.4,0.6,0.1,0.3,0.1,0.1,21.1,8.1,1.244697,"Muy bajo","2,399","1"
"14",9,"Ciudad de México",9011,"Tláhuac","392,313",1.7,5,20.2,27.3,1.8,0.3,2.1,0.2,0.2,22.7,9.2,1.182614,"Muy bajo","2,363","1"
"15",9,"Ciudad de México",9013,"Xochimilco","442,178",2,4.7,20.5,31.1,2.3,0.4,8.4,0.7,0.2,23.9,10.6,1.084835,"Muy bajo","2,267","1"
"16",9,"Ciudad de México",9009,"Milpa Alta","152,685",2.8,4.2,23.2,30.1,2.6,0.9,10.5,1.5,0.4,32.4,20.2,0.849953,"Muy bajo","1,975","1"
