desc_unidad_responsable,tot_h,tot_m,tot,w_mean_h,w_mean_m,diff,w_sd_h,w_sd_m,w_sd_h_2,w_sd_m_2,w_sd_pooled,cohensd,cohensd_b,w_mean,z_score,z_score_b
Agencia Digital de Innovación Pública (ADIP),349,392,741,19911.836676217765,15653.739795918367,4258.0968802993975,16126.683375527437,11508.902718495063,260069916.694513,132454841.78378305,13876.225233162204,0.30686276770163345,1,17659.240215924427,0.2657767309115832,1
Agencia de Atención Animal De La Ciudad De México,29,46,75,21487.03448275862,16981.5,4505.53448275862,15091.412741505772,4279.807159466678,227750738.53448275,18316749.322222237,9932.149540735261,0.453631357872717,1,18723.64,0.40072209573044554,1
Agencia de Protección Sanitaria,49,43,92,24854.591836734693,24654.53488372093,200.0569530137618,15036.3384158156,10568.334664839105,226091472.954932,111689697.58803989,13141.688543855988,0.015223078247984549,1,24761.08695652174,1.1661539328196857,1
Alcaldía Azcapotzalco,2804,2046,4850,8437.231455064193,8532.498044965787,-95.26658990159376,6938.9905016415305,6683.309994375936,48149589.18187138,44666632.48092528,6832.305352629918,-0.013943549795373733,0,8477.420206185567,-0.8983009675740902,0
Alcaldía Benito Juárez,3608,2204,5812,8733.213414634147,9204.642014519057,-471.42859988491,6905.442825557402,5874.331635562537,47685140.6170422,34507772.16457082,6533.653437657334,-0.07215390353699913,0,8911.986407432898,-0.843206354213003,0
Alcaldía Coyoacán,3890,2685,6575,8143.01233933162,8183.3355679702045,-40.323228638584624,7047.094747402335,5815.456120671061,49661544.37886558,33819529.89145051,6572.112410966481,-0.006135505012254466,0,8159.478935361217,-0.9386097889626882,0
Alcaldía Cuajimalpa De Morelos,2217,1983,4200,9112.21650879567,8362.398890569844,749.8176182258248,7264.835910962548,5302.998644193834,52777840.81321104,28121794.62032164,6413.812590314463,0.11690669280828832,1,8758.195476190476,-0.8627040783133187,0
Alcaldía Cuauhtémoc,5319,3789,9108,8613.341981575484,8838.956452889945,-225.6144713144604,5815.6726748136825,5712.885237745933,33822048.66057453,32637057.73965541,5773.136489832742,-0.03908005149571595,0,8707.199385155907,-0.8691693991560626,0
Alcaldía Gustavo A. Madero,5898,4358,10256,8621.942353340115,8509.736805874254,112.20554746586095,7058.025706220017,5702.012940999377,49815726.86966257,32512951.579324365,6516.413923128731,0.01721891039910915,1,8574.263748049922,-0.886023074170921,0
Alcaldía Iztacalco,3047,2279,5326,8752.957006892026,8790.429135585784,-37.47212869375835,6799.072713207092,5322.560191178728,46227389.75947725,28329646.988720536,6210.427917829268,-0.006033743437578773,0,8768.991363124296,-0.8613353680574324,0
Alcaldía Iztapalapa,6825,5099,11924,7782.203663003663,7673.545793292803,108.65786971085981,5572.582273667386,5470.300143204155,31053673.196791977,29924183.656739395,5529.076685415294,0.019652082235987006,1,7735.738846024824,-0.9923318601237031,0
Alcaldía La Magdalena Contreras,2107,1637,3744,8494.478405315615,7963.422724496029,531.0556808195852,7139.436849892487,6703.494810689459,50971558.53360276,44936842.67694051,6952.207176972302,0.0763866305047113,1,8262.283386752137,-0.9255761671924627,0
Alcaldía Miguel Hidalgo,3253,1883,5136,8930.794036274208,9394.981412639405,-464.18737636519654,7868.84052081803,7062.57861695683,61918651.14206777,49880016.72069585,7583.243334270738,-0.06121224862551985,0,9100.977998442368,-0.8192458653271284,0
Alcaldía Milpa Alta,2137,1601,3738,8208.676181562938,7731.7326670830735,476.94351447986446,6830.024352474309,6055.863334693781,46649232.6553921,36673480.72848848,6509.758983471293,0.07326592515803665,1,8004.399411449973,-0.9582708817618694,0
Alcaldía Tlalpan,3043,2107,5150,8483.494577719355,8915.0,-431.5054222806448,7090.1438064036065,7783.081770552299,50270139.195483424,60576361.84710351,7381.485026018004,-0.05845780635735077,0,8660.034757281554,-0.8751489643629253,0
